Year,region,province_city,foreign,overseas,domestic,total,is_region_total
2016,NCR (National Capital Region),Taguig City,0,0,0,0,0
2016,NCR (National Capital Region),Valenzuela City,0,0,0,0,0
2016,NCR (National Capital Region),Pateros,0,0,0,0,0
2016,CAR (Cordillera Administrative Region),CAR (Cordillera Administrative Region),117241,923,1670484,1788648,1
2016,CAR (Cordillera Administrative Region),Abra,344,0,7913,8257,0
2016,CAR (Cordillera Administrative Region),Apayao,23,101,3843,3967,0
2016,CAR (Cordillera Administrative Region),Benguet,4080,415,86884,91379,0
2016,CAR (Cordillera Administrative Region),Ifugao,28312,0,36043,64355,0
2016,CAR (Cordillera Administrative Region),Kalinga,20652,0,147290,167942,0
2016,CAR (Cordillera Administrative Region),Mountain Province,13052,0,144790,157842,0
2016,CAR (Cordillera Administrative Region),Baguio City,50778,407,1243721,1294906,0
2016,Region I (ILOCOS REGION),Region I (ILOCOS REGION),99147,362,1991321,2090830,1
2016,Region I (ILOCOS REGION),Ilocos Norte,61556,15,493605,555176,0
2016,Region I (ILOCOS REGION),Bangui,94,0,870,964,0
2016,Region I (ILOCOS REGION),Batac,0,0,0,0,0
2016,Region I (ILOCOS REGION),Currimao,1069,0,34068,35137,0
2016,Region I (ILOCOS REGION),Laoag City,30913,15,194023,224951,0
2016,Region I (ILOCOS REGION),Pagudpud,26958,0,240628,267586,0
2016,Region I (ILOCOS REGION),Paoay,1206,0,646,1852,0
2016,Region I (ILOCOS REGION),Pasuquin,0,0,0,0,0
2016,Region I (ILOCOS REGION),San Nicolas,1316,0,23370,24686,0
2016,Region I (ILOCOS REGION),Ilocos Sur,8044,0,274112,282156,0
2016,Region I (ILOCOS REGION),Candon City,329,0,19568,19897,0
2016,Region I (ILOCOS REGION),Sinait,0,0,0,0,0
2016,Region I (ILOCOS REGION),Vigan City,7715,0,254544,262259,0
2016,Region I (ILOCOS REGION),La Union,11597,347,459603,471547,0
2016,Region I (ILOCOS REGION),Agoo,0,0,40189,40189,0
2016,Region I (ILOCOS REGION),Aringay,114,0,4762,4876,0
2016,Region I (ILOCOS REGION),Bacnotan,0,0,5225,5225,0
2016,Region I (ILOCOS REGION),Baloaon,15,17,7522,7554,0
2016,Region I (ILOCOS REGION),Bauang,3541,0,57799,61340,0
2016,Region I (ILOCOS REGION),Caba,0,0,0,0,0
2016,Region I (ILOCOS REGION),Luna,0,0,0,0,0
2016,Region I (ILOCOS REGION),Naguilian,0,0,0,0,0
2016,Region I (ILOCOS REGION),Pugo,0,0,0,0,0
2016,Region I (ILOCOS REGION),Rosario,0,0,3295,3295,0
2016,Region I (ILOCOS REGION),San Fernando City,5758,330,83252,89340,0
2016,Region I (ILOCOS REGION),San Juan,1806,0,254206,256012,0
2016,Region I (ILOCOS REGION),Santol,0,0,0,0,0
2016,Region I (ILOCOS REGION),Sto. Tomas,72,0,285,357,0
2016,Region I (ILOCOS REGION),Sudipen,291,0,3068,3359,0
2016,Region I (ILOCOS REGION),Tubao,0,0,0,0,0
2016,Region I (ILOCOS REGION),Pangasinan,17950,0,764001,781951,0
2016,Region I (ILOCOS REGION),Alaminos,2838,0,27461,30299,0
2016,Region I (ILOCOS REGION),Anda,743,0,21250,21993,0
2016,Region I (ILOCOS REGION),Bolinao,3012,0,127899,130911,0
2016,Region I (ILOCOS REGION),Dagupan City,1857,0,78286,80143,0
2016,Region I (ILOCOS REGION),Dasol,0,0,0,0,0
2016,Region I (ILOCOS REGION),Lingayen,7621,0,396124,403745,0
2016,Region I (ILOCOS REGION),San Fabian,562,0,75068,75630,0
2016,Region I (ILOCOS REGION),Urdaneta City,1317,0,37913,39230,0
2016,Region II (CAGAYAN VALLEY),Region II (CAGAYAN VALLEY),263048,343,563450,826841,1
2016,Region II (CAGAYAN VALLEY),Batanes,1226,0,26168,27394,0
2016,Region II (CAGAYAN VALLEY),Cagayan,256279,221,199445,455945,0
2016,Region II (CAGAYAN VALLEY),Tuguegarao City,3491,118,106737,110346,0
2016,Region II (CAGAYAN VALLEY),Others,252788,103,92708,345599,0
2016,Region II (CAGAYAN VALLEY),Isabela,4374,60,229215,233649,0
2016,Region II (CAGAYAN VALLEY),Cauayan City,658,0,95325,95983,0
2016,Region II (CAGAYAN VALLEY),Ilagan City,462,40,21824,22326,0
2016,Region II (CAGAYAN VALLEY),Santiago City,1444,20,78518,79982,0
2016,Region II (CAGAYAN VALLEY),Others,1810,0,33548,35358,0
2016,Region II (CAGAYAN VALLEY),Nueva Vizcaya,1169,62,100995,102226,0
2016,Region II (CAGAYAN VALLEY),Quirino,0,0,7627,7627,0
2016,Region II (CAGAYAN VALLEY),Partial,0,0,0,0,0
2016,Region III (CENTRAL LUZON),Region III (CENTRAL LUZON),821425,17811,3311350,4150586,1
2016,Region III (CENTRAL LUZON),Aurora,274,69,147087,147430,0
2016,Region III (CENTRAL LUZON),Bataan,37845,0,295064,332909,0
2016,Region III (CENTRAL LUZON),Bulacan,12016,0,101062,113078,0
2016,Region III (CENTRAL LUZON),Nueva Ecija,6949,962,31565,39476,0
2016,Region III (CENTRAL LUZON),Pampanga,95124,541,280177,375842,0
2016,Region III (CENTRAL LUZON),Clark,615521,0,622042,1237563,0
2016,Region III (CENTRAL LUZON),Tarlac City,7876,3221,21688,32785,0
2016,Region III (CENTRAL LUZON),Zambales,16031,0,189453,205484,0
2016,Region III (CENTRAL LUZON),SBMA,29789,13018,1623212,1666019,0
2016,Region III (CENTRAL LUZON),Angeles City,0,0,0,0,0
2016,Region III (CENTRAL LUZON),Olongapo City,0,0,0,0,0
2016,Region IV-A CALABARZON,Region IV-A CALABARZON,257160,2029,4835870,5095059,1
2016,Region IV-A CALABARZON,Batangas,60735,1842,1213521,1276098,0
2016,Region IV-A CALABARZON,Alitagtag,0,0,1798,1798,0
2016,Region IV-A CALABARZON,Balayan,13161,0,88225,101386,0
2016,Region IV-A CALABARZON,Batangas City,0,0,51321,51321,0
2016,Region IV-A CALABARZON,Balete,0,0,2077,2077,0
2016,Region IV-A CALABARZON,Bauan,0,0,205,205,0
2016,Region IV-A CALABARZON,Calatagan,1,0,21626,21627,0
2016,Region IV-A CALABARZON,Cuenca,0,0,18399,18399,0
2016,Region IV-A CALABARZON,Laurel,0,0,382,382,0
2016,Region IV-A CALABARZON,Lemery,0,0,0,0,0
2016,Region IV-A CALABARZON,Lian,0,0,37754,37754,0
2016,Region IV-A CALABARZON,Lipa City,13852,0,63017,76869,0
2016,Region IV-A CALABARZON,Lobo,0,0,19354,19354,0
2016,Region IV-A CALABARZON,Mabini,5670,1193,119072,125935,0
2016,Region IV-A CALABARZON,Malvar,1723,0,15816,17539,0
2016,Region IV-A CALABARZON,Mataas na Kahoy,0,0,37839,37839,0
2016,Region IV-A CALABARZON,Nasugbu,10803,2,294938,305743,0
2016,Region IV-A CALABARZON,Rosario,201,647,1584,2432,0
2016,Region IV-A CALABARZON,San Juan,2499,0,369980,372479,0
2016,Region IV-A CALABARZON,Santo Tomas,12678,0,51781,64459,0
2016,Region IV-A CALABARZON,Taal,147,0,247,394,0
2016,Region IV-A CALABARZON,Talisay,0,0,18106,18106,0
2016,Region IV-A CALABARZON,Tanauan,0,0,0,0,0
2016,Region IV-A CALABARZON,Cavite,90160,0,684940,775100,0
2016,Region IV-A CALABARZON,Cavite City,0,0,0,0,0
2016,Region IV-A CALABARZON,Tagaytay City,73470,0,661275,734745,0
2016,Region IV-A CALABARZON,Trece Martirez,16690,0,23665,40355,0
2016,Region IV-A CALABARZON,Laguna,96705,73,1209243,1306021,0
2016,Region IV-A CALABARZON,Calamba City,60651,0,961980,1022631,0
2016,Region IV-A CALABARZON,Cavinti,0,0,1864,1864,0
2016,Region IV-A CALABARZON,Los Bañ0s,1330,0,57065,58395,0
2016,Region IV-A CALABARZON,Lumban,909,0,97896,98805,0
2016,Region IV-A CALABARZON,Majayjay,0,0,4281,4281,0
2016,Region IV-A CALABARZON,Nagcarlan,144,73,4796,5013,0
2016,Region IV-A CALABARZON,Rizal,0,0,0,0,0
2016,Region IV-A CALABARZON,San Pablo,240,0,3015,3255,0
2016,Region IV-A CALABARZON,Sta. Rosa City,33334,0,49118,82452,0
2016,Region IV-A CALABARZON,Victoria,97,0,29228,29325,0
2016,Region IV-A CALABARZON,Quezon,7209,114,808541,815864,0
2016,Region IV-A CALABARZON,Agdangan,0,0,0,0,0
2016,Region IV-A CALABARZON,Alamat,2,0,1847,1849,0
2016,Region IV-A CALABARZON,Atimonan,0,0,73508,73508,0
2016,Region IV-A CALABARZON,Buenavista,10,0,612,622,0
2016,Region IV-A CALABARZON,Burdeos,0,0,0,0,0
2016,Region IV-A CALABARZON,Calauag,0,0,2227,2227,0
2016,Region IV-A CALABARZON,Catanauan,553,0,11241,11794,0
2016,Region IV-A CALABARZON,Candelaria,35,22,442,499,0
2016,Region IV-A CALABARZON,Dolores,0,0,4549,4549,0
2016,Region IV-A CALABARZON,Gen Luna,0,0,1129,1129,0
2016,Region IV-A CALABARZON,Gen. Nakar,0,0,35202,35202,0
2016,Region IV-A CALABARZON,Guinayangan,0,0,2311,2311,0
2016,Region IV-A CALABARZON,Gumaca,62,0,32543,32605,0
2016,Region IV-A CALABARZON,Infanta,0,0,1079,1079,0
2016,Region IV-A CALABARZON,Jomalig,2,0,1117,1119,0
2016,Region IV-A CALABARZON,Lucban,1800,1,81584,83385,0
2016,Region IV-A CALABARZON,Lucena City,0,0,0,0,0
2016,Region IV-A CALABARZON,Macelolon,0,0,7532,7532,0
2016,Region IV-A CALABARZON,Mauban,492,0,99580,100072,0
2016,Region IV-A CALABARZON,Padre Burgos,22,0,2183,2205,0
2016,Region IV-A CALABARZON,Pagbilao,0,0,0,0,0
2016,Region IV-A CALABARZON,Panukulan,0,0,178,178,0
2016,Region IV-A CALABARZON,Plaridel,0,0,833,833,0
2016,Region IV-A CALABARZON,Perez,0,0,23614,23614,0
2016,Region IV-A CALABARZON,Polillo,0,0,1631,1631,0
2016,Region IV-A CALABARZON,Quezon,2,0,455,457,0
2016,Region IV-A CALABARZON,Real,0,0,63441,63441,0
2016,Region IV-A CALABARZON,Sampaloc,0,0,38873,38873,0
