Year;Region_Code;Region_Name;Province;Location;Level_Original;Foreign_Travelers;OFW;Domestic_Travelers;Total;Level;Latitude;Longitude
2015;Region IV-A;Region IV-A CALABARZON;Batangas;Tanauan;City/Municipality;0;0;1644;1644;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Cavite;Cavite;Province;238074;0;465259;703333;Province;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Cavite;Cavite City;City/Municipality;8906;0;28803;37709;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Cavite;Tagaytay City;City/Municipality;198037;0;400724;598761;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Cavite;Trece Martirez;City/Municipality;31131;0;35732;66863;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Laguna;Province;98975;146;1172607;1271728;Province;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Calamba City;City/Municipality;44272;0;893467;937739;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Los;City/Municipality;0;0;90179;95298;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Lumban;City/Municipality;1882;0;86675;88557;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Majayjay;City/Municipality;0;0;11960;11960;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Laguna;Nagcarlan;City/Municipality;138;54;3798;3990;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Rizal;Province;23832;0;5107;28939;Province;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;San Pablo;City/Municipality;317;0;7326;7643;City/Municipality;14,1008;121,0794
2015;Region IV-A;Region IV-A CALABARZON;Rizal;Sta. Rosa City;City/Municipality;23232;0;46649;69881;City/Municipality;14,1008;121,0794
