COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JAN-DEC,YEAR
USA,76896.0,65330.0,71831.0,69520.0,67199.0,65173.0,65218.0,50050.0,46291.0,59150.0,55451.0,87108.0,779217.0,2015
JAPAN,38190.0,45299.0,46885.0,37228.0,37102.0,32560.0,41620.0,55997.0,45934.0,36332.0,35612.0,42903.0,495662.0,2015
CHINA,21164.0,41812.0,30067.0,33250.0,31537.0,32495.0,66689.0,65403.0,51378.0,42073.0,37329.0,37644.0,490841.0,2015
AUSTRALIA,23281.0,17625.0,21993.0,20674.0,18750.0,16797.0,18122.0,15855.0,17609.0,18265.0,19448.0,32768.0,241187.0,2015
OVERSEAS FILIPINOS,16263.0,12528.0,24953.0,19812.0,17806.0,15725.0,22132.0,14753.0,10433.0,14918.0,12393.0,30147.0,211863.0,2015
SINGAPORE,12995.0,14279.0,16942.0,15816.0,17363.0,15422.0,14585.0,14515.0,14122.0,14366.0,14928.0,15843.0,181176.0,2015
TAIWAN,11804.0,15198.0,14711.0,13859.0,13790.0,16038.0,18833.0,16397.0,14564.0,15337.0,13399.0,13740.0,177670.0,2015
CANADA,17922.0,13146.0,15688.0,13990.0,13152.0,8255.0,11250.0,8890.0,7559.0,11051.0,12196.0,23264.0,156363.0,2015
MALAYSIA,12256.0,11188.0,13892.0,13089.0,14690.0,12851.0,12981.0,13048.0,13189.0,11936.0,13544.0,13150.0,155814.0,2015
UNITED KINGDOM,11967.0,11374.0,16730.0,14045.0,12294.0,9614.0,15215.0,12338.0,8783.0,11054.0,11869.0,19306.0,154589.0,2015
HONG KONG,7858.0,13171.0,10483.0,12031.0,10586.0,8656.0,10661.0,10202.0,10160.0,10267.0,8574.0,9531.0,122180.0,2015
GERMANY,7848.0,7396.0,8576.0,5665.0,5135.0,3835.0,4853.0,5689.0,4208.0,5549.0,6936.0,9658.0,75348.0,2015
INDIA,6221.0,5244.0,6415.0,6335.0,7030.0,5848.0,5565.0,5837.0,6070.0,6590.0,7108.0,6561.0,74824.0,2015
SAUDI ARABIA,4154.0,3798.0,4446.0,3447.0,3995.0,2341.0,7098.0,5532.0,5642.0,3886.0,3680.0,2865.0,50884.0,2015
INDONESIA,3949.0,3615.0,4235.0,3705.0,4035.0,3772.0,4233.0,4528.0,3832.0,4238.0,4086.0,3950.0,48178.0,2015
FRANCE,4418.0,5821.0,4735.0,4362.0,3478.0,2421.0,3772.0,2954.0,2212.0,2962.0,3271.0,5099.0,45505.0,2015
THAILAND,3426.0,3759.0,4059.0,4429.0,3541.0,3422.0,3351.0,3569.0,3418.0,3961.0,3637.0,3466.0,44038.0,2015
GUAM,2490.0,2227.0,2874.0,2310.0,2882.0,4219.0,4135.0,2422.0,2466.0,2711.0,2711.0,3815.0,35262.0,2015
VIETNAM,2807.0,2811.0,2858.0,2761.0,2884.0,2607.0,2810.0,2189.0,2283.0,2618.0,2508.0,2443.0,31579.0,2015
NETHERLANDS,2958.0,2356.0,2365.0,2501.0,2308.0,1769.0,2812.0,1803.0,1663.0,2085.0,2590.0,3422.0,28632.0,2015
SWITZERLAND,2995.0,2551.0,2576.0,2834.0,1923.0,1353.0,2340.0,1242.0,1444.0,2036.0,2164.0,3742.0,27200.0,2015
RUSSIA,4804.0,2478.0,1989.0,1855.0,1275.0,1053.0,1007.0,1066.0,1168.0,2001.0,3086.0,3496.0,25278.0,2015
SPAIN,2087.0,1764.0,2109.0,1785.0,1560.0,1489.0,2260.0,3095.0,1374.0,1685.0,2264.0,2672.0,24144.0,2015
SWEDEN,2970.0,2871.0,2310.0,1493.0,1140.0,1438.0,1062.0,738.0,907.0,1331.0,1806.0,5140.0,23206.0,2015
ITALY,2649.0,2172.0,1931.0,1640.0,1323.0,1313.0,1599.0,1991.0,1086.0,1435.0,1681.0,2800.0,21620.0,2015
NORWAY,1954.0,1787.0,2175.0,1387.0,1141.0,2712.0,2498.0,912.0,1061.0,1258.0,1302.0,2781.0,20968.0,2015
NEW ZEALAND,1582.0,1319.0,1703.0,1771.0,1733.0,1465.0,1626.0,1558.0,1449.0,1518.0,1554.0,3301.0,20579.0,2015
UNITED ARAB EMIRATES,1169.0,1170.0,1728.0,1626.0,1455.0,1181.0,1822.0,1451.0,1318.0,1313.0,1147.0,1501.0,16881.0,2015
DENMARK,1873.0,1830.0,1536.0,1016.0,953.0,892.0,1399.0,735.0,774.0,1046.0,1129.0,2086.0,15269.0,2015
IRELAND,1112.0,849.0,1379.0,1116.0,1240.0,1637.0,1492.0,847.0,768.0,896.0,816.0,1898.0,14050.0,2015
BELGIUM,1000.0,1031.0,1203.0,1098.0,881.0,1041.0,1668.0,828.0,717.0,871.0,974.0,1513.0,12825.0,2015
AUSTRIA,1617.0,1310.0,1112.0,961.0,749.0,606.0,1310.0,753.0,564.0,794.0,814.0,1677.0,12267.0,2015
ISRAEL,1299.0,1256.0,1116.0,1215.0,755.0,525.0,734.0,710.0,1280.0,742.0,839.0,1285.0,11756.0,2015
MACAU,577.0,793.0,833.0,1028.0,903.0,722.0,993.0,1012.0,856.0,1000.0,627.0,816.0,10160.0,2015
POLAND,948.0,967.0,767.0,505.0,474.0,331.0,355.0,419.0,482.0,705.0,1330.0,747.0,8030.0,2015
MYANMAR,593.0,579.0,682.0,565.0,662.0,649.0,622.0,435.0,515.0,586.0,621.0,524.0,7033.0,2015
