BY NATIONALITY,"TotalFebruary 2022","TotalMarch 2022","TotalApril 2022","TotalMay 2022","TotalJune 2022","TotalJuly 2022","TotalAugust 2022","TotalSeptember 2022","TotalOctober 2022","TotalNovember 2022","TotalDecember 2022","TotalFeb. to Dec. 2022",% Share
ALBANIAN,-,-,3,7,5,15,12,26,28,22,29,147,0.01%
ERITREAN,1,9,5,5,6,13,39,22,12,14,6,132,0.00%
MALAGASY,-,4,3,14,19,9,18,20,13,10,9,119,0.00%
CONGOLESE (DRC),-,12,9,10,13,5,29,14,16,10,-,118,0.00%
ANDORRAN,-,6,11,16,20,20,7,9,12,8,8,117,0.00%
ANGOLAN,3,3,5,7,11,13,15,23,13,11,12,116,0.00%
IVORIAN,1,10,10,10,7,9,14,10,24,9,12,116,0.00%
BOLIVIAN,-,5,7,4,1,9,19,18,13,21,18,115,0.00%
MALIAN,-,5,6,7,16,24,35,6,6,4,2,111,0.00%
HONDURAN,5,4,9,2,7,15,12,15,12,21,7,109,0.00%
BOSNIAN,2,-,3,3,6,14,20,16,13,22,8,107,0.00%
BHUTANESE,20,-,1,-,9,3,16,8,19,13,16,105,0.00%
SOLOMON ISLANDER,1,-,4,4,1,1,17,14,27,15,18,102,0.00%
AFGHAN,-,-,4,5,6,15,15,13,11,16,13,98,0.00%
TAJIK,-,2,2,6,4,11,9,9,17,18,19,97,0.00%
GEORGIAN,1,-,2,6,5,10,7,5,14,21,23,94,0.00%
LIBERIAN,3,4,5,8,4,12,10,12,13,7,10,88,0.00%
MACEDONIAN,-,-,3,3,10,7,11,14,10,15,13,86,0.00%
ZAMBIAN,-,3,5,8,3,11,9,9,13,8,15,84,0.00%
TURKMEN,3,2,3,3,1,13,5,5,19,15,12,81,0.00%
BERMUDIAN,4,-,5,1,6,15,9,4,9,5,20,78,0.00%
SAMOAN,-,-,3,2,7,3,6,14,22,13,5,75,0.00%
TONGAN,-,-,1,2,2,2,5,13,8,3,37,73,0.00%
RWANDAN,-,2,12,4,5,6,14,6,5,13,4,71,0.00%
NICARAGUAN,3,3,1,1,4,7,16,10,13,7,6,71,0.00%
MOLDOVAN,1,-,5,6,6,8,5,8,14,10,6,69,0.00%
HAITIAN,-,4,5,1,3,3,14,7,6,7,15,65,0.00%
CONGOLESE (CONGO),-,1,3,7,1,1,8,3,6,3,32,65,0.00%
SENEGALESE,-,6,2,3,1,8,8,10,10,9,7,64,0.00%
SOMALI,-,-,2,7,9,3,15,5,4,9,6,60,0.00%
MOZAMBICAN,-,1,3,4,1,1,7,4,10,7,20,58,0.00%
NIGERIEN,1,-,2,2,4,2,7,6,10,7,16,57,0.00%
BAHAMIAN,2,3,-,6,3,6,5,12,9,1,8,55,0.00%
CITIZEN OF SEYCHELLES,-,-,5,2,5,3,14,10,2,5,9,55,0.00%
PARAGUAYAN,-,5,1,4,3,5,11,3,5,3,13,53,0.00%
GUINEAN,2,4,1,2,4,8,11,6,6,5,3,52,0.00%
LIBYAN,3,-,1,5,4,7,5,10,10,2,4,51,0.00%
AZERBAIJANI,3,-,-,-,3,8,12,4,5,9,7,51,0.00%
FAROESE,-,-,2,6,5,9,4,1,1,9,14,51,0.00%
CAYMAN ISLANDER,-,-,4,-,6,10,7,9,1,2,12,51,0.00%
LIECHTENSTEIN CITIZEN,-,4,5,1,4,11,2,2,3,4,13,49,0.00%
STATELESS,5,-,5,1,7,4,9,5,7,2,2,47,0.00%
GRENADIAN,2,-,5,5,1,7,3,6,3,5,10,47,0.00%
SOUTH SUDANESE,-,-,2,1,6,9,5,7,4,11,1,46,0.00%
MALAWIAN,1,1,-,1,4,5,4,6,9,6,8,45,0.00%
NORTHERN MARIANAN,-,-,-,-,-,-,-,-,-,-,44,44,0.00%
SIERRA LEONEAN,3,-,2,1,3,2,3,7,9,9,3,42,0.00%
BOTSWANAN,-,1,5,1,5,3,8,3,9,5,-,40,0.00%
GUYANESE,-,3,5,2,5,6,4,5,3,4,3,40,0.00%
CITIZEN OF ANTIGUA AND BARBUDA,-,-,3,6,2,5,7,5,6,2,3,39,0.00%
BRITISH VIRGIN ISLANDER,-,-,3,1,5,2,1,4,4,5,14,39,0.00%
BENINESE,-,-,3,2,2,7,3,4,5,8,4,38,0.00%
CAPE VERDEAN,-,1,4,4,1,3,4,3,4,9,5,38,0.00%
MONTENEGRIN,-,-,1,-,1,5,9,9,4,8,-,37,0.00%
GAMBIAN,-,-,1,1,2,2,2,13,3,4,8,36,0.00%
BELIZEAN,-,-,4,1,2,4,2,2,7,7,7,36,0.00%
BURUNDIAN,-,-,1,4,-,2,6,10,4,5,4,36,0.00%
CITIZEN OF THE DOMINICAN REPUBLIC,-,4,1,1,6,2,2,4,7,8,-,35,0.00%
BARBADIAN,-,3,2,-,2,5,6,6,6,3,-,33,0.00%
CUBAN,-,-,3,2,2,2,5,4,9,4,2,33,0.00%
ST LUCIAN,-,-,5,6,3,2,3,3,5,4,2,33,0.00%
VINCENTIAN,-,2,5,1,2,4,8,3,1,5,1,32,0.00%
COMORAN,-,1,-,1,1,3,6,1,10,5,4,32,0.00%
TOGOLESE,-,1,1,4,1,1,3,5,5,2,6,29,0.00%
CITIZEN OF KIRIBATI,-,1,1,-,3,2,-,5,8,5,4,29,0.00%
VATICAN CITIZEN,-,2,1,4,3,1,5,4,1,2,4,27,0.00%
ANGUILLAN,-,-,3,1,-,3,4,2,4,7,1,25,0.00%
SURINAMESE,-,4,-,1,3,2,-,4,2,8,1,25,0.00%
EQUATORIAL GUINEAN,-,-,1,2,2,2,9,2,2,-,5,25,0.00%
SWAZI,-,-,1,-,1,5,3,-,3,3,9,25,0.00%
MAURITANIAN,-,3,-,-,-,2,4,5,2,3,5,24,0.00%
NORTHERN IRISH,2,-,5,-,6,-,2,3,2,2,1,23,0.00%
GABONESE,-,-,2,-,1,1,9,1,1,7,1,23,0.00%
BURKINAN,-,-,3,1,1,5,1,4,1,3,1,20,0.00%
DJIBOUTIAN,-,1,-,3,-,1,1,1,3,6,3,19,0.00%
TURKS AND CAICOS ISLANDER,-,-,3,-,4,6,1,-,3,-,1,18,0.00%
TUVALUAN,3,2,-,-,1,-,1,2,6,-,2,17,0.00%
PITCAIRN ISLANDER,1,-,-,5,4,1,-,1,1,1,1,15,0.00%
SAMMARINESE,-,-,4,-,1,-,-,4,2,-,4,15,0.00%
KOSOVAN,-,-,-,-,1,4,3,1,2,3,-,14,0.00%
MONEGASQUE,-,-,2,2,-,-,5,2,2,1,-,14,0.00%
US VIRGIN ISLAND,-,-,-,-,-,-,-,-,-,-,13,13,0.00%
NAURUAN,-,-,-,-,-,1,1,2,2,4,2,12,0.00%
GIBRALTARIAN,-,-,-,-,2,5,-,-,1,2,1,11,0.00%
COOK ISLANDER,2,-,-,-,-,-,-,2,2,2,1,9,0.00%
MOSOTHO,-,-,2,1,1,-,-,3,-,1,-,8,0.00%
CITIZEN OF GUINEA-BISSAU,-,-,-,1,1,-,1,5,-,-,-,8,0.00%
WELSH,-,1,1,-,1,1,-,3,-,-,-,7,0.00%
CENTRAL AFRICAN,-,-,1,-,1,1,-,-,1,2,1,7,0.00%
ST HELENIAN,-,-,2,1,-,1,-,-,-,2,1,7,0.00%
MOTSWANA,,-,-,-,-,-,-,-,-,-,7,7,0.00%
NIUEAN,-,-,-,-,-,-,2,4,-,-,-,6,0.00%
CYMRAES,-,-,-,-,-,1,1,-,-,3,-,5,0.00%
CITIZEN OF BOSNIA AND HERZEGOVINA,-,-,1,-,-,-,1,1,-,-,1,4,0.00%
CYMRO,-,-,-,1,1,-,2,-,-,-,-,4,0.00%
TRISTANIAN,-,-,1,-,-,2,-,-,1,-,-,4,0.00%
ARUBA,-,-,-,-,-,-,-,-,-,2,2,4,0.00%
WALLISIAN,-,-,-,-,1,1,-,1,-,-,1,4,0.00%
REUNIONESE,,-,-,-,-,-,-,-,-,-,4,4,0.00%
SAO TOMEAN,-,-,-,-,1,-,-,-,1,1,-,3,0.00%
MARTINIQUAIS,-,-,-,-,1,-,-,1,-,-,-,2,0.00%
FRENCH POLYNESIAN,-,-,-,-,-,-,-,-,-,-,2,2,0.00%
PRYDEINIG,-,-,1,-,-,-,-,1,-,-,-,2,0.00%
GREENLANDIC,-,-,-,-,-,-,-,-,-,1,-,1,0.00%
HERZEGOVINIAN,-,-,-,-,-,-,-,-,1,-,-,1,0.00%
ANTARCTIC,-,-,-,-,-,-,-,-,-,-,1,1,0.00%
SAHRAWI,-,-,-,-,-,-,-,-,-,-,1,1,0.00%
"",,,,,,,,,,,,,
