"",,,,,,,,,,,,,,
COUNTRY OF RESIDENCE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,"JANUARY -DECEMBER",% Share
Grand Total,"464,168","466,032","475,643","458,083","389,288","448,867","516,304","437,648","382,346","406,901","439,926","565,351","5,450,557",100.00%
"","CONGO, DEMOCRATIC REPUBLIC OF",35,22,14,21,13,18,21,36,28,17,20,10,255,0.00%,
"",ANGOLA,10,15,6,18,12,23,18,54,24,21,11,26,238,0.00%,
"",IRAQ,8,19,12,9,13,19,15,33,47,26,12,17,230,0.00%,
"",IVORY COAST,15,10,30,29,20,23,19,21,14,20,15,12,228,0.00%,
"",NEW CALEDONIA,19,25,19,21,17,8,11,15,16,17,14,33,215,0.00%,
"",ALBANIA,10,28,16,8,14,14,17,13,16,19,36,23,214,0.00%,
"",GUATEMALA,13,16,26,25,24,8,25,13,6,28,16,14,214,0.00%,
"",JAMAICA,18,20,18,18,4,11,23,10,18,25,29,18,212,0.00%,
"",CAYMAN ISLANDS,11,7,11,8,19,18,46,30,23,13,10,13,209,0.00%,
"",BRITISH INDIAN OCEAN TERRITORY,28,22,17,11,14,6,11,6,27,23,20,20,205,0.00%,
"",BERMUDA,18,10,17,15,17,8,23,16,18,16,16,29,203,0.00%,
"",DOMINICAN REPUBLIC,12,27,12,9,12,13,9,63,11,10,9,9,196,0.00%,
"",ANDORRA,8,10,16,25,15,25,9,16,22,20,17,5,188,0.00%,
"",EL SALVADOR,8,14,14,19,16,11,22,10,30,14,21,5,184,0.00%,
"",SYRIA,11,14,11,10,14,32,12,13,27,13,15,10,182,0.00%,
"",AFGHANISTAN,18,8,11,9,18,22,15,25,21,12,11,11,181,0.00%,
"",SUDAN,12,15,11,18,6,5,7,53,21,13,7,7,175,0.00%,
"",GUERNSEY,20,11,29,17,11,6,5,6,11,15,20,18,169,0.00%,
"",ZAMBIA,15,7,14,12,9,13,8,15,30,12,10,24,169,0.00%,
"",HONDURAS,12,10,29,14,16,20,11,2,22,8,14,7,165,0.00%,
"",MOLDOVA,24,26,15,6,11,6,4,14,13,11,9,23,162,0.00%,
"",TRINIDAD AND TOBAGO,16,18,27,10,13,4,9,8,17,17,14,7,160,0.00%,
"",BOLIVIA,13,18,9,43,17,4,1,4,5,19,11,13,157,0.00%,
FAROE ISLANDS,15,7,12,9,10,22,19,20,3,7,16,13,153,0.00%
VENEZUELA,10,12,15,15,10,14,6,16,19,8,18,8,151,0.00%
GIBRALTAR,12,9,18,16,9,6,11,8,2,31,11,14,147,0.00%
MADAGASCAR,25,20,6,13,12,10,6,8,12,10,7,18,147,0.00%
RÃ©UNION,14,28,26,16,8,8,12,6,4,12,5,6,145,0.00%
NAMIBIA,8,10,3,18,12,11,8,6,3,8,12,40,139,0.00%
MONACO,10,16,19,10,5,5,11,3,4,13,21,19,136,0.00%
BOSNIA AND HERZEGOVINA,15,13,8,10,6,4,7,8,13,10,21,20,135,0.00%
RWANDA,12,9,10,10,4,7,13,24,15,13,13,4,134,0.00%
LIBERIA,11,14,13,16,8,12,10,5,17,14,6,7,133,0.00%
PARAGUAY,18,28,8,9,8,9,7,8,11,1,7,16,130,0.00%
TONGA,14,10,8,17,16,8,2,6,13,7,13,8,122,0.00%
SENEGAL,7,4,5,8,5,7,4,21,33,10,7,10,121,0.00%
LIECHTENSTEIN,11,12,15,15,6,8,16,4,7,5,4,17,120,0.00%
SAMOA,4,9,12,12,2,15,9,13,14,15,8,7,120,0.00%
TURKMENISTAN,9,5,17,11,8,8,5,4,7,9,12,21,116,0.00%
FRENCH POLYNESIA,8,8,7,14,8,13,8,5,8,13,13,9,114,0.00%
BAHAMAS,14,9,8,6,5,15,11,3,9,17,9,6,112,0.00%
MOZAMBIQUE,3,7,14,7,8,3,17,7,14,7,9,13,109,0.00%
"ESWATINI (FMR. ""SWAZILAND"")",5,3,11,11,6,3,5,9,27,20,5,2,107,0.00%
ARUBA,1,3,15,6,12,9,13,5,19,10,3,7,103,0.00%
MALAWI,16,9,5,4,3,9,5,11,10,9,13,9,103,0.00%
SAINT KITTS AND NEVIS,9,9,12,7,7,13,6,6,7,9,6,4,95,0.00%
MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF,12,5,11,8,7,10,2,4,7,5,5,15,91,0.00%
SEYCHELLES,3,4,1,12,10,7,2,13,6,4,13,16,91,0.00%
LIBYA,4,12,3,9,6,9,7,14,10,2,6,7,89,0.00%
NICARAGUA,3,4,6,4,2,9,2,7,7,14,24,7,89,0.00%
BOTSWANA,6,6,2,4,11,5,3,12,2,8,6,18,83,0.00%
"Ã...LAND ISLANDS",4,5,3,5,6,9,6,5,3,7,7,20,80,0.00%
ALGERIA,7,3,2,9,3,5,10,16,6,8,4,6,79,0.00%
AZERBAIJAN,5,6,6,2,5,8,3,10,5,4,10,12,76,0.00%
MONTENEGRO,2,4,7,-,4,-,6,35,4,2,10,2,76,0.00%
KIRIBATI,-,7,4,9,11,7,6,10,6,4,6,1,71,0.00%
BURKINA FASO,1,-,3,13,4,26,2,1,4,5,3,4,66,0.00%
PALESTINE STATE,3,7,-,2,-,1,16,6,8,-,14,2,59,0.00%
VIRGIN ISLANDS (U.S.),6,3,7,11,5,7,2,3,1,2,4,5,56,0.00%
GUINEA,4,3,4,3,5,5,1,18,3,2,4,3,55,0.00%
"CONGO, REPUBLIC OF (CAP. BRAZZAVILLE)",2,5,3,8,2,5,5,7,4,3,6,4,54,0.00%
YEMEN,4,10,2,2,1,3,2,11,4,1,5,6,51,0.00%
TOGO,10,-,4,2,-,3,7,4,4,8,2,6,50,0.00%
BELIZE,3,4,1,5,3,2,9,7,2,1,9,3,49,0.00%
COOK ISLANDS,1,1,2,6,4,7,1,3,8,4,8,3,48,0.00%
BURUNDI,1,1,5,4,1,3,5,5,11,6,-,2,44,0.00%
GAMBIA,-,3,1,3,2,1,3,5,7,10,4,5,44,0.00%
GRENADA,6,3,5,3,1,7,3,4,-,-,8,4,44,0.00%
GREENLAND,2,2,1,4,1,5,2,2,3,7,7,6,42,0.00%
SURINAME,1,2,1,3,3,1,2,3,16,3,5,2,42,0.00%
BENIN,4,4,3,2,3,6,2,5,6,3,1,-,39,0.00%
SINT MAARTEN (DUTCH PART),4,-,1,6,-,5,6,-,3,7,1,5,38,0.00%
SAINT LUCIA,-,3,7,5,1,2,4,4,-,1,6,4,37,0.00%
CENTRAL AFRICAN REPUBLIC,2,2,-,1,2,6,8,7,-,3,1,2,34,0.00%
TUVALU,-,-,7,4,2,4,1,-,1,11,2,2,34,0.00%
CHAD,2,4,8,5,2,1,1,4,-,2,2,2,33,0.00%
CURAÃ§AO,6,5,5,2,1,3,3,2,3,2,1,-,33,0.00%
TURKS AND CAICOS,4,-,1,6,2,1,3,5,6,1,4,-,33,0.00%
BRITISH VIRGIN ISLANDS,6,3,4,2,3,-,5,3,5,-,-,1,32,0.00%
ANTIGUA AND BARBUDA,-,1,2,3,3,3,6,2,3,-,5,3,31,0.00%
BARBADOS,-,-,5,4,4,-,3,9,1,3,2,-,31,0.00%
MARTINIQUE,2,1,15,2,1,2,1,-,4,-,-,3,31,0.00%
GUADELOUPE,-,1,3,3,3,3,8,4,2,1,1,1,30,0.00%
HAITI,5,-,3,4,1,1,1,3,4,1,1,6,30,0.00%
SAN MARINO,1,8,3,-,-,-,1,4,2,3,1,7,30,0.00%
FALKLAND ISLANDS (MALVINAS),-,-,1,-,1,1,5,-,3,2,4,11,28,0.00%
GUYANA,-,6,4,-,1,2,4,5,-,2,1,3,28,0.00%
FRENCH GUIANA,-,-,8,2,1,1,6,3,1,3,1,1,27,0.00%
MALI,2,2,2,1,-,1,4,7,3,2,1,2,27,0.00%
GABON,1,-,-,-,1,1,3,4,7,3,3,2,25,0.00%
SAINT VINCENT AND THE GRENADINES,6,2,3,-,4,1,2,-,-,1,3,3,25,0.00%
SIERRA LEONE,-,-,1,-,3,5,-,1,5,4,1,3,23,0.00%
"BONAIRE, SINT EUSTATIUS AND SABA",1,1,2,-,2,2,5,1,2,3,1,2,22,0.00%
DOMINICA,1,2,1,1,-,2,5,1,1,1,3,4,22,0.00%
EQUATORIAL GUINEA,1,3,-,5,1,-,2,2,-,2,1,3,20,0.00%
CABO VERDE,1,-,1,2,-,4,2,-,-,-,1,3,14,0.00%
NIGER,-,1,1,-,2,4,-,-,1,2,2,1,14,0.00%
NAURU,-,-,-,2,-,2,-,-,-,4,4,1,13,0.00%
SOMALIA,1,2,-,2,3,1,-,1,-,-,2,1,13,0.00%
COMOROS,1,3,2,-,1,-,-,-,4,-,1,-,12,0.00%
FRENCH SOUTHERN TERRITORIES,-,-,-,1,-,-,2,1,1,1,2,4,12,0.00%
LESOTHO,-,-,-,1,-,1,-,2,6,1,-,-,11,0.00%
ANGUILLA,1,-,-,2,-,-,-,2,3,-,-,2,10,0.00%
DJIBOUTI,-,-,1,-,1,2,1,-,1,-,1,3,10,0.00%
ANTARCTICA,-,1,3,-,1,2,-,-,-,-,-,2,9,0.00%
CUBA,1,-,-,2,2,-,1,-,1,2,-,-,9,0.00%
MAURITANIA,-,1,-,2,1,1,-,1,-,-,3,-,9,0.00%
NORFOLK ISLAND,-,-,1,5,-,-,3,-,-,-,-,-,9,0.00%
SAO TOME AND PRINCIPE,-,-,-,-,-,1,-,-,7,-,-,1,9,0.00%
ERITREA,1,-,1,-,1,-,1,1,-,-,2,1,8,0.00%
GUINEA-BISSAU,-,-,-,-,3,-,2,1,-,-,1,1,8,0.00%
SAINT MARTIN (FRENCH PART),4,-,1,-,1,-,-,-,1,-,1,-,8,0.00%
COCOS (KEELING) ISLANDS,-,-,-,-,-,-,-,1,4,-,-,1,6,0.00%
NIUE,-,-,-,4,-,-,-,1,-,1,-,-,6,0.00%
CHRISTMAS ISLAND,-,-,1,-,1,1,-,2,-,-,-,-,5,0.00%
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",-,-,1,1,-,-,1,-,-,1,-,-,4,0.00%
"",rNORTH KOREA,-,-,-,-,2,-,-,-,-,-,-,1,3,0.00%
"",MONTSERRAT,-,-,-,-,-,-,-,2,-,-,-,-,2,0.00%
"",SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,,,,,1,-,-,-,1,-,2,0.00%,
"",VATICAN CITY STATE,-,1,-,-,1,-,-,-,-,-,-,-,2,0.00%
"",MACEDONIA,-,-,-,-,-,-,-,-,-,-,1,-,1,0.00%
"",MAYOTTE,-,-,-,-,-,-,-,-,-,-,-,1,1,0.00%
"",SAINT BARTHÃ©LEMY,-,-,-,-,-,-,-,-,-,-,1,-,1,0.00%
"",SAINT PIERRE AND MIQUELON,,,,,,,,,1,-,-,-,1,0.00%
"",WALLIS AND FUTUNA,-,-,1,-,-,-,-,-,-,-,-,-,1,0.00%
WESTERN SAHARA,-,-,-,-,-,-,-,-,1,-,-,-,1,0.00%,
